Frame,ID,Type
27,1536,car
28,1537,car
30,1541,truck
32,1543,truck
37,1544,car
39,1546,truck
42,1548,car
45,1549,truck
48,1553,car
48,1554,truck
49,1555,car
50,1556,car
2,1562,car
3,1564,car
4,1568,car
13,1576,car
14,1577,car
17,1579,car
22,1583,car
23,1585,car
25,1589,car
26,1594,car
35,1605,truck
38,1610,car
43,1613,car
47,1617,car
3,1627,truck
9,1632,car
16,1636,car
19,1637,car
20,1638,car
25,1640,car
33,1645,car
35,1648,car
37,1651,car
40,1654,car
48,1661,car
52,1668,car
3,1672,car
3,1673,car
12,1677,truck
14,1678,car
27,1682,car
32,1684,car
39,1690,car
42,1691,car
43,1693,car
50,1696,truck
5,1701,car
5,1702,truck
5,1704,truck
5,1705,car
5,1706,car
5,1707,car
5,1708,car
5,1709,car
5,1710,truck
7,1712,truck
11,1719,car
12,1724,truck
14,1727,car
16,1730,car
24,1739,car
27,1747,car
28,1748,car
28,1749,truck
31,1752,truck
32,1753,car
37,1755,car
37,1756,car
42,1760,truck
52,1764,car
9,1779,car
13,1782,car
15,1784,car
16,1787,car
17,1788,car
18,1790,truck
18,1791,car
28,1798,car
35,1806,car
35,1807,truck
39,1810,car
49,1817,car
49,1819,car
2,1822,car
3,1824,car
3,1825,car
3,1826,car
3,1829,car
16,1844,car
19,1847,car
22,1851,car
24,1854,car
29,1858,car
30,1862,car
35,1866,car
40,1877,car
48,1882,car
50,1887,car
51,1889,car
3,1897,car
3,1898,car
3,1902,car
4,1904,car
18,1914,car
20,1917,car
22,1918,car
29,1921,car
29,1922,car
32,1924,truck
35,1930,truck
35,1931,truck
41,1941,car
51,1947,car
3,1952,truck
3,1954,car
3,1955,car
3,1956,car
3,1959,car
3,1961,car
3,1962,car
4,1965,truck
4,1966,car
4,1967,car
4,1969,truck
4,1970,car
6,1974,car
7,1978,car
8,1983,car
9,1987,car
10,1989,car
11,1991,car
13,1996,truck
14,1998,car
16,2002,car
21,2005,truck
22,2006,car
23,2008,car
24,2011,car
27,2013,car
35,2017,truck
37,2018,truck
38,2020,truck
46,2028,car
47,2030,car
